"","x"
"1","SFTPB"
"2","C4BPA"
"3","SLC34A2"
"4","NAPSA"
"5","SFTPD"
"6","SFTA3"
"7","SLC22A31"
"8","AQP3"
"9","SFTPA2"
"10","HOPX"
"11","SFTPA1"
"12","PIGR"
"13","CTSH"
"14","SFTA1P"
"15","CYB5A"
"16","SCGB3A2"
"17","SFTPC"
"18","C16orf89"
"19","AQP1"
"20","LRRK2"
"21","LPCAT1"
