"","x"
"1","S100A2"
"2","SPP1"
"3","BPIFA1"
"4","BPIFB2"
"5","PERP"
"6","CDKN2A"
"7","TFF1"
"8","CHCHD2"
"9","CRIP1"
"10","MARCKS"
"11","VIM"
"12","ERO1A"
"13","KRT17"
"14","MT-ND5"
"15","ZG16B"
"16","CCT2"
"17","TFF3"
"18","S100A4"
"19","SLC16A3"
"20","SRD5A3"
"21","HLA-C"
